Company,Year,Month,Quarter,Deliveries,Revenue_USD_M,Net_Income_USD_M,Operating_Margin_%,EV_Models_Available,Revenue_Per_Vehicle,Market_Share_%
Tesla,2023,2,Q1,126862,6998.7,753.9,11.4,4,55167.82,87.62
Tesla,2023,3,Q1,177608,9798.18,1055.46,11.4,4,55167.45,87.62
Tesla,2023,4,Q2,130519,6979.56,756.84,9.6,4,53475.43,85.22
Tesla,2023,5,Q2,139842,7478.1,810.9,9.6,4,53475.35,85.22
Tesla,2023,6,Q2,195779,10469.34,1135.26,9.6,4,53475.3,85.22
Tesla,2023,7,Q3,121817,6538.0,518.84,7.6,4,53670.67,83.53
Tesla,2023,8,Q3,130518,7005.0,555.9,7.6,4,53670.76,83.53
Tesla,2023,9,Q3,182725,9807.0,778.26,7.6,4,53670.82,83.53
Tesla,2023,10,Q4,135662,7046.76,2219.84,8.2,4,51943.51,84.28
Tesla,2023,11,Q4,145352,7550.1,2378.4,8.2,4,51943.56,84.28
Tesla,2023,12,Q4,203493,10570.14,3329.76,8.2,4,51943.51,84.28
Tesla,2024,1,Q1,108307,5964.28,316.12,5.5,4,55068.28,81.5
Tesla,2024,2,Q1,116043,6390.3,338.7,5.5,4,55068.38,81.5
Tesla,2024,3,Q1,162460,8946.42,474.18,5.5,4,55068.45,81.5
Tesla,2024,4,Q2,124308,7050.96,413.84,6.3,4,56721.69,82.34
Tesla,2024,5,Q2,133187,7554.6,443.4,6.3,4,56721.75,82.34
Tesla,2024,6,Q2,186462,10576.44,620.76,6.3,4,56721.69,82.34
Tesla,2024,7,Q3,129609,7050.96,606.76,10.8,5,54401.78,82.79
Tesla,2024,8,Q3,138867,7554.6,650.1,10.8,5,54401.69,82.79
Tesla,2024,9,Q3,194414,10576.44,910.14,10.8,5,54401.64,82.79
Tesla,2024,10,Q4,138760,7197.96,649.04,9.2,5,51873.45,82.41
Tesla,2024,11,Q4,148671,7712.1,695.4,9.2,5,51873.6,82.41
Tesla,2024,12,Q4,208139,10796.94,973.56,9.2,5,51873.7,82.41
Ford,2021,1,Q1,7476,10129.0,921.48,3.1,1,1354868.91,12.62
Ford,2021,2,Q1,8010,10852.5,987.3,3.1,1,1354868.91,12.62
Ford,2021,3,Q1,11214,15193.5,1382.22,3.1,1,1354868.91,12.62
Ford,2021,4,Q2,8848,7491.12,157.08,1.8,1,846645.57,13.57
Ford,2021,5,Q2,9480,8026.2,168.3,1.8,1,846645.57,13.57
Ford,2021,6,Q2,13272,11236.68,235.62,1.8,1,846645.57,13.57
Ford,2021,7,Q3,8344,9996.0,512.4,2.9,1,1197986.58,10.99
Ford,2021,8,Q3,8940,10710.0,549.0,2.9,1,1197986.58,10.99
Ford,2021,9,Q3,12516,14994.0,768.6,2.9,1,1197986.58,10.99
Ford,2021,10,Q4,9968,10556.0,3449.88,3.2,1,1058988.76,10.32
Ford,2021,11,Q4,10680,11310.0,3696.3,3.2,1,1058988.76,10.32
Ford,2021,12,Q4,14952,15834.0,5174.82,3.2,1,1058988.76,10.32
Ford,2022,1,Q1,10808,9660.0,-868.0,2.1,2,893782.38,11.03
Ford,2022,2,Q1,11580,10350.0,-930.0,2.1,2,893782.38,11.03
Ford,2022,3,Q1,16212,14490.0,-1302.0,2.1,2,893782.38,11.03
Ford,2022,4,Q2,7599,10640.0,-168.0,4.5,2,1400184.23,9.48
Ford,2022,5,Q2,8142,11400.0,-180.0,4.5,2,1400147.38,9.48
Ford,2022,6,Q2,11399,15960.0,-252.0,4.5,2,1400122.82,9.48
Ford,2022,7,Q3,8736,11032.0,-231.56,3.8,2,1262820.51,8.18
Ford,2022,8,Q3,9360,11820.0,-248.1,3.8,2,1262820.51,8.18
Ford,2022,9,Q3,13104,16548.0,-347.34,3.8,2,1262820.51,8.18
Ford,2022,10,Q4,12040,12320.0,364.0,4.2,2,1023255.81,9.42
Ford,2022,11,Q4,12900,13200.0,390.0,4.2,2,1023255.81,9.42
Ford,2022,12,Q4,18060,18480.0,546.0,4.2,2,1023255.81,9.42
Ford,2023,1,Q1,14504,11611.6,504.0,5.3,2,800579.15,10.73
Ford,2023,2,Q1,15540,12441.0,540.0,5.3,2,800579.15,10.73
Ford,2023,3,Q1,21756,17417.4,756.0,5.3,2,800579.15,10.73
Ford,2023,4,Q2,19096,12600.0,504.0,3.2,3,659824.05,12.47
Ford,2023,5,Q2,20460,13500.0,540.0,3.2,3,659824.05,12.47
Ford,2023,6,Q2,28644,18900.0,756.0,3.2,3,659824.05,12.47
Ford,2023,7,Q3,19656,12264.0,-231.56,-0.8,3,623931.62,13.48
Ford,2023,8,Q3,21060,13140.0,-248.1,-0.8,3,623931.62,13.48
Ford,2023,9,Q3,29484,18396.0,-347.34,-0.8,3,623931.62,13.48
Ford,2023,10,Q4,20384,12880.0,476.0,2.1,3,631868.13,12.66
Ford,2023,11,Q4,21840,13800.0,510.0,2.1,3,631868.13,12.66
Ford,2023,12,Q4,30576,19320.0,714.0,2.1,3,631868.13,12.66
Ford,2024,1,Q1,20776,11977.0,372.96,3.1,3,576482.48,15.63
Ford,2024,2,Q1,22260,12832.5,399.6,3.1,3,576482.48,15.63
Ford,2024,3,Q1,31164,17965.5,559.44,3.1,3,576482.48,15.63
Ford,2024,4,Q2,22792,13384.0,511.56,2.3,3,587223.59,15.1
Ford,2024,5,Q2,24420,14340.0,548.1,2.3,3,587223.59,15.1
Ford,2024,6,Q2,34188,20076.0,767.34,2.3,3,587223.59,15.1
Ford,2024,7,Q3,24136,12936.0,-224.0,-1.2,3,535962.88,15.42
Ford,2024,8,Q3,25860,13860.0,-240.0,-1.2,3,535962.88,15.42
Ford,2024,9,Q3,36204,19404.0,-336.0,-1.2,3,535962.88,15.42
Ford,2024,10,Q4,25648,13496.0,504.0,1.8,4,526200.87,15.23
Ford,2024,11,Q4,27480,14460.0,540.0,1.8,4,526200.87,15.23
Ford,2024,12,Q4,38472,20244.0,756.0,1.8,4,526200.87,15.23
Rivian,2021,1,Q1,0,0.0,-115.92,0.0,0,0.0,0.0
Rivian,2021,2,Q1,0,0.0,-124.2,0.0,0,0.0,0.0
Rivian,2021,3,Q1,0,0.0,-173.88,0.0,0,0.0,0.0
Rivian,2021,4,Q2,0,0.0,-140.56,0.0,0,0.0,0.0
Rivian,2021,5,Q2,0,0.0,-150.6,0.0,0,0.0,0.0
Rivian,2021,6,Q2,0,0.0,-210.84,0.0,0,0.0,0.0
Rivian,2021,7,Q3,0,0.0,-345.24,0.0,0,0.0,0.0
Rivian,2021,8,Q3,0,0.0,-369.9,0.0,0,0.0,0.0
Rivian,2021,9,Q3,0,0.0,-517.86,0.0,0,0.0,0.0
Rivian,2021,10,Q4,258,15.4,-689.08,-900.0,1,59689.92,0.27
Rivian,2021,11,Q4,276,16.5,-738.3,-900.0,1,59782.61,0.27
Rivian,2021,12,Q4,386,23.1,-1033.62,-900.0,1,59844.56,0.27
Rivian,2022,1,Q1,344,26.6,-446.04,-1677.0,1,77325.58,0.35
Rivian,2022,2,Q1,368,28.5,-477.9,-1677.0,1,77445.65,0.35
Rivian,2022,3,Q1,515,39.9,-669.06,-1677.0,1,77475.73,0.35
Rivian,2022,4,Q2,1251,101.92,-478.24,-469.0,1,81470.82,1.56
Rivian,2022,5,Q2,1340,109.2,-512.4,-469.0,1,81492.54,1.56
Rivian,2022,6,Q2,1876,152.88,-717.36,-469.0,1,81492.54,1.56
Rivian,2022,7,Q3,1844,150.08,-482.72,-322.0,1,81388.29,1.73
Rivian,2022,8,Q3,1975,160.8,-517.2,-322.0,1,81417.72,1.73
Rivian,2022,9,Q3,2765,225.12,-724.08,-322.0,1,81417.72,1.73
Rivian,2022,10,Q4,2255,185.64,-481.6,-259.0,1,82323.73,1.76
Rivian,2022,11,Q4,2416,198.9,-516.0,-259.0,1,82326.16,1.76
Rivian,2022,12,Q4,3383,278.46,-722.4,-259.0,1,82311.56,1.77
Rivian,2023,1,Q1,2225,185.08,-378.0,-204.0,2,83182.02,1.65
Rivian,2023,2,Q1,2384,198.3,-405.0,-204.0,2,83179.53,1.65
Rivian,2023,3,Q1,3337,277.62,-567.0,-204.0,2,83194.49,1.65
Rivian,2023,4,Q2,3539,313.88,-335.72,-107.0,2,88691.72,2.31
Rivian,2023,5,Q2,3792,336.3,-359.7,-107.0,2,88686.71,2.31
Rivian,2023,6,Q2,5309,470.82,-503.58,-107.0,2,88683.37,2.31
Rivian,2023,7,Q3,4358,374.36,-383.04,-102.0,2,85901.79,2.99
Rivian,2023,8,Q3,4669,401.1,-410.4,-102.0,2,85907.05,2.99
Rivian,2023,9,Q3,6537,561.54,-574.56,-102.0,2,85901.79,2.99
Rivian,2023,10,Q4,4911,368.48,-425.88,-115.0,2,75031.56,3.05
Rivian,2023,11,Q4,5262,394.8,-456.3,-115.0,2,75028.51,3.05
Rivian,2023,12,Q4,7367,552.72,-638.82,-115.0,2,75026.47,3.05
Rivian,2024,1,Q1,3805,337.12,-406.84,-121.0,2,88599.21,2.86
Rivian,2024,2,Q1,4076,361.2,-435.9,-121.0,2,88616.29,2.86
Rivian,2024,3,Q1,5707,505.68,-610.26,-121.0,2,88606.97,2.86
Rivian,2024,4,Q2,3861,324.24,-409.36,-126.0,2,83978.24,2.56
Rivian,2024,5,Q2,4137,347.4,-438.6,-126.0,2,83973.89,2.56
Rivian,2024,6,Q2,5792,486.36,-614.04,-126.0,2,83970.99,2.56
Rivian,2024,7,Q3,2805,244.72,-307.72,-126.0,2,87244.21,1.79
Rivian,2024,8,Q3,3005,262.2,-329.7,-126.0,2,87254.58,1.79
Rivian,2024,9,Q3,4208,367.08,-461.58,-126.0,2,87233.84,1.79
Rivian,2024,10,Q4,3971,300.44,-208.04,-69.0,3,75658.52,2.36
Rivian,2024,11,Q4,4255,321.9,-222.9,-69.0,3,75652.17,2.36
Rivian,2024,12,Q4,5957,450.66,-312.06,-69.0,3,75652.17,2.36
